trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.57140926790803,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-57.89600416520056,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-22.14781439557475,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.62468661123177,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.540104332392,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-44.03173945056494,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.05955127541807,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.47836317792489,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-47.03211311382507,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.37888367972189,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-57.737337846448995,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.50908586264451,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-57.80149622352888,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.012927077276615,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.612565494039735,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-50.00720411003583,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.29776845895631,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-23.43062577878542,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-56.671788037683335,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-53.62980398902807,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-27.69261976501315,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-45.39196481411405,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-26.19347511146872,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-22.71461803346355,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-41.86521359064307,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-51.06982729210957,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-23.361950605230888,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-41.190332991302675,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-39.81219354727069,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-15.446652508576445,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
